instancia,alpha,tempMin,tempInicial,semilla,fo_inicial,fo_final,fines_semana_libres,iteraciones_sa
N20-3.txt,0.78,0.05,100000,2112,489,19,5,590000
N50-4.txt,0.78,0.05,100000,2112,1311,44,14,590000
N10-8.txt,0.62,0.05,100000,2113,71,15,9,310000
N50-5.txt,0.62,0.05,100000,2113,1312,55,12,310000
N40-5.txt,0.62,0.05,100000,2113,149,40,30,310000
N20-2.txt,0.62,0.05,100000,2113,492,26,5,310000
N30-2.txt,0.62,0.05,100000,2113,771,29,6,310000
N40-8.txt,0.62,0.05,100000,2113,1021,70,9,310000
N50-9.txt,0.62,0.05,100000,2113,1290,56,12,310000
N40-7.txt,0.62,0.05,100000,2113,194,59,32,310000
N50-8.txt,0.62,0.05,100000,2113,1288,57,13,310000
N20-10.txt,0.62,0.05,100000,2113,469,20,3,310000
N20-1.txt,0.62,0.05,100000,2113,366,19,7,310000
N30-10.txt,0.62,0.05,100000,2113,378,48,15,310000
N30-8.txt,0.62,0.05,100000,2113,745,31,7,310000
N20-9.txt,0.62,0.05,100000,2113,139,35,10,310000
N10-10.txt,0.62,0.05,100000,2113,204,9,3,310000
N50-6.txt,0.62,0.05,100000,2113,299,93,35,310000
N40-6.txt,0.62,0.05,100000,2113,294,57,23,310000
N10-9.txt,0.62,0.05,100000,2113,200,10,2,310000
N50-7.txt,0.62,0.05,100000,2113,1287,59,13,310000
NPlus-1.txt,0.62,0.05,100000,2113,878,45,26,310000
N10-7.txt,0.62,0.05,100000,2113,158,9,6,310000
N40-4.txt,0.62,0.05,100000,2113,444,34,21,310000
NPlus-3.txt,0.62,0.05,100000,2113,1158,58,20,310000
NPlus-2.txt,0.62,0.05,100000,2113,1325,55,9,310000
N30-1.txt,0.62,0.05,100000,2113,205,21,23,310000
N10-6.txt,0.62,0.05,100000,2113,198,8,2,310000
N30-9.txt,0.62,0.05,100000,2113,746,43,6,310000
N20-3.txt,0.62,0.05,100000,2113,489,21,3,310000
N50-4.txt,0.62,0.05,100000,2113,1311,45,15,310000
N10-8.txt,0.53,0.05,100000,2114,71,16,9,230000
N50-5.txt,0.53,0.05,100000,2114,1312,50,12,230000
N40-5.txt,0.53,0.05,100000,2114,149,28,31,230000
N20-2.txt,0.53,0.05,100000,2114,492,23,3,230000
N30-2.txt,0.53,0.05,100000,2114,771,28,7,230000
N40-8.txt,0.53,0.05,100000,2114,1021,80,6,230000
N50-9.txt,0.53,0.05,100000,2114,1290,59,11,230000
N40-7.txt,0.53,0.05,100000,2114,194,71,33,230000
N50-8.txt,0.53,0.05,100000,2114,1288,58,11,230000
N20-10.txt,0.53,0.05,100000,2114,469,21,5,230000
N20-1.txt,0.53,0.05,100000,2114,366,24,7,230000
N30-10.txt,0.53,0.05,100000,2114,378,35,16,230000
N30-8.txt,0.53,0.05,100000,2114,745,38,7,230000
N20-9.txt,0.53,0.05,100000,2114,139,35,10,230000
